City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Krasnovishersk,RU,60.4078,57.082,53.02,97,7,3.85,clear sky
173,Guangyuan,CN,32.442,105.823,68.85,81,95,5.41,overcast clouds
174,Kavaratti,IN,10.5669,72.642,82.2,80,99,20.76,overcast clouds
175,Kildinstroy,RU,68.8049,33.1,53.91,94,0,4.47,clear sky
176,Tiarei,PF,-17.5333,-149.3333,82.42,77,86,10.33,overcast clouds
177,Hasaki,JP,35.7333,140.8333,77.4,84,44,4.09,scattered clouds
178,Warrenton,ZA,-28.114,24.8475,56.14,37,1,8.14,clear sky
179,Teluknaga,ID,-6.0989,106.6381,77.0,85,20,4.0,haze
180,Concepcion De Buenos Aires,MX,19.9667,-103.2667,59.32,89,100,3.58,overcast clouds
181,Stawell,AU,-37.05,142.7667,43.52,93,55,4.56,broken clouds
182,Hambantota,LK,6.1241,81.1185,78.91,83,100,17.98,overcast clouds
183,Wilmington Island,US,32.0036,-80.9737,78.89,70,90,8.05,light rain
184,Bosaso,SO,11.2842,49.1816,90.68,49,52,4.85,broken clouds
185,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,69,40,18.41,scattered clouds
186,Victor Harbor,AU,-35.5667,138.6167,54.19,83,95,7.92,overcast clouds
187,Solnechnyy,RU,50.7214,136.6319,58.19,97,100,3.06,overcast clouds
188,Maralal,KE,1.0968,36.698,63.25,64,88,7.05,overcast clouds
189,Olavarria,AR,-36.8927,-60.3225,61.0,53,0,12.73,clear sky
190,Buala,SB,-8.145,159.5921,78.6,81,93,8.43,light rain
191,Cherskiy,RU,68.75,161.3,47.48,77,49,4.72,scattered clouds
192,Bathsheba,BB,13.2167,-59.5167,83.59,73,10,12.97,clear sky
193,Sarkand,KZ,45.41,79.9186,64.71,40,0,4.14,clear sky
194,Srednekolymsk,RU,67.45,153.6833,42.44,80,100,9.62,overcast clouds
195,Hovd,MN,48.0056,91.6419,64.08,44,54,6.15,broken clouds
196,Deputatskiy,RU,69.3,139.9,37.69,96,100,5.46,overcast clouds
197,Lagoa,PT,39.05,-27.9833,73.09,90,0,19.35,clear sky
198,Neuquen,AR,-38.9516,-68.0591,66.09,39,0,3.44,clear sky
199,Sorland,NO,67.667,12.6934,55.47,91,100,11.56,overcast clouds
200,Nikolskoye,RU,59.7035,30.7861,62.49,86,100,1.61,overcast clouds
201,Tyrma,RU,50.0833,132.1667,64.4,100,100,4.59,moderate rain
202,Kinablangan,PH,7.6947,126.5503,78.31,85,100,4.88,moderate rain
203,Zheshart,RU,62.0731,49.5733,48.27,79,1,2.3,clear sky
204,Baijiantan,CN,45.6333,85.1833,75.13,44,0,0.87,clear sky
205,Saqqez,IR,36.2499,46.2735,78.73,31,100,6.22,overcast clouds
